,Age,Gender,City,yearsExperience,SeniorityLevel,salary,MainLanguage,CompanySize,CompanyType
547,29,F,München,6,Middle,55000,English,100-1000,Agency
548,60,F,München,38,,58000,Deutsch,up to 10,Product
549,50,M,Köln,20,Senior,72000,Deutsch,1000+,IT Service Provider
550,29,M,München,6,Senior,75000,English,10-50,Product
551,31,M,Frankfurt,5,Middle,55000,English,100-1000,Startup
552,29,M,Berlin,7,Senior,70000,English,100-1000,Product
553,36,M,Tallinn,15,Senior,57000,English,1000+,Product
554,31,M,Frankfurt,10,Senior,75000,English,10-50,Agency
555,34,M,München,12,Senior,70000,Deutsch/Englisch,10-50,Product
556,31,M,Berlin,4,Senior,65000,English,1000+,Product
557,47,M,München,11,Senior,66000,Deutsch,1000+,"non-IT, manufacturing"
559,43,M,München,10,Senior,88000,English,1000+,Insurance
560,33,M,München,7,Senior,70000,English,100-1000,Product
561,32,M,Hildesheim,12,Senior,60000,English,1000+,Product
563,47,M,Berlin,10,Senior,64500,Deutsch,100-1000,IT-Beratung
564,31,M,Berlin,7,Senior,96000,English,100-1000,Product
566,40,M,Dublin,20,Senior,80000,English,10-50,Startup
568,46,M,London,21,Middle,90000,English,100-1000,Startup
569,27,M,München,2,Junior,55000,English,1000+,Product
570,43,M,Frankfurt,18,Senior,60000,English,1000+,Consulting
571,32,F,Hamburg,10,,65000,English,50-100,Startup
572,34,M,München,10,Middle,70000,Deutsch,100-1000,Product
573,38,M,Berlin,15,Senior,75000,English,1000+,Product
574,31,F,München,9,Senior,65000,English,50-100,Startup
575,31,M,Berlin,4,Middle,60000,English,100-1000,Product
578,42,M,München,19,Senior,110000,English,1000+,Product
580,30,M,München,5,Middle,58000,English,100-1000,Startup
581,26,M,Köln,1,Junior,46000,Deutsch,1000+,Technology Consulting
582,27,M,Berlin,5,Senior,73000,English,10-50,Startup
583,36,M,München,14,Senior,68000,English,100-1000,Agency
584,36,M,München,14,Senior,68000,English,100-1000,Agency
585,30,F,Berlin,5,Middle,52000,English,1000+,Product
586,26,M,Köln,6,Senior,60000,English,10-50,Startup
587,32,M,Stuttgart,7,Middle,74000,Deutsch,1000+,Product
588,26,M,"Krakow, Poland",4,Senior,39150,English,1000+,outsource
589,25,M,München,2,Junior,60000,English,100-1000,Product
590,33,M,Rosenheim,15,Senior,48000,Deutsch,10-50,IT Consultants
591,29,M,Berlin,8,Senior,60000,English,50-100,Product
595,30,M,Hamburg,4,Middle,40800,Deutsch,up to 10,Agency
596,30,F,München,5,Middle,50000,Deutsch,50-100,Product
597,36,M,München,5,Middle,53000,English,50-100,Product
598,40,M,München,18,Senior,89000,Deutsch,50-100,Product
599,26,M,Berlin,8,Middle,50000,English,10-50,Startup
600,29,M,Berlin,8,Senior,67500,English,100-1000,Product
601,28,F,Frankfurt,3,Middle,50000,Deutsch,50-100,Consulting
602,35,F,Berlin,0,Middle,37000,Deutsch,100-1000,Hochschule/university
605,29,M,München,8,Senior,80000,English,100-1000,Product
606,52,M,bremen,5,Middle,33600,Deutsch,up to 10,ISP
608,39,M,Hamburg,5,Middle,87500,English,1000+,Product
609,30,M,Stockholm,12,Senior,65000,English,1000+,Product
611,26,M,München,3,Junior,37000,Deutsch,up to 10,Startup
614,35,M,Berlin,14,Senior,55000,English,50-100,Product
615,35,M,Berlin,10,Senior,78000,English,1000+,Product
617,31,M,Luxembourg,8,Middle,72000,English,100-1000,Product
618,37,M,Stuttgart,6,Senior,57000,English,100-1000,Product
619,30,M,München,7,Senior,68000,English,100-1000,Product
620,26,M,München,5,Middle,58000,English,100-1000,Agency
621,32,M,München,10,Senior,65000,English,100-1000,Product
622,30,M,München,5,Middle,60000,English,100-1000,Product
623,31,M,Berlin,5,Senior,90000,English,1000+,Product
624,32,F,Dublin,6,Middle,90000,English,1000+,Product
625,28,M,Berlin,5,Senior,77000,English,50-100,Product
626,33,M,Nürnberg ,6,Senior,90000,Deutsch,100-1000,Agency
627,33,M,Nürnberg ,6,Senior,90000,Deutsch,100-1000,Agency
628,27,M,Berlin,7,Senior,57500,English,100-1000,Product
629,43,M,Schleswig-Holstein,16,Senior,103000,Deutsch,50-100,Product
630,31,M,Riga,11,Senior,55000,English,1000+,Product
631,30,M,Köln,5,Senior,70000,English,10-50,Product
633,35,M,Berlin,8,Senior,57000,English,10-50,Product
634,26,F,Berlin,1,Junior,56000,English,50-100,Startup
635,33,M,Stuttgart,12,Senior,78000,Deutsch,1000+,Product
636,33,M,Berlin,12,Senior,66000,English,100-1000,Product
637,38,M,München,15,Senior,67000,English,50-100,Product
638,31,M,Berlin,9,Middle,70000,English,1000+,Product
639,37,M,Berlin,8,Senior,75000,English,1000+,Product
640,27,M,Berlin,10,Senior,60000,English,100-1000,Agency
642,31,F,Frankfurt,0,Senior,90000,Deutsch,100-1000,Agency
643,33,F,Berlin,10,Middle,55000,English,100-1000,Startup
644,37,M,München,15,Senior,80000,English,100-1000,Product
645,36,M,München,14,Senior,112000,English,1000+,Outsourcing
646,33,M,München,10,Senior,72000,Deutsch,1000+,Product
647,30,M,München,10,Senior,70000,English,10-50,Startup
649,30,F,München,1,Junior,50000,Deutsch,50-100,Product
650,36,M,Koblenz,18,Senior,42000,Deutsch,10-50,Outsourcing
651,31,M,München,11,Senior,80000,English,1000+,Product
652,31,M,München,8,Senior,65000,English,50-100,Startup
653,33,M,Frankfurt,11,Senior,72000,English,100-1000,Product
654,32,M,Berlin,9,Senior,83000,English,50-100,Blockchain technology
655,27,M,Berlin,6,Middle,60000,English,1000+,Retail
656,35,M,München,12,Senior,84000,Deutsch,up to 10,Startup
657,25,M,München,4,Senior,70000,English,1000+,Agency
658,34,M,Berlin,10,Senior,65000,English,50-100,Product
659,34,M,Hamburg,10,Senior,68000,English,100-1000,Product
660,35,M,München,12,Senior,70000,English,50-100,Product
661,34,M,München,11,Senior,72000,English,1000+,Product
662,33,M,homeoffice,15,Senior,65000,Deutsch,up to 10,Agency
663,26,M,Berlin,5,Senior,65000,English,100-1000,Startup
664,30,M,Vienna,7,Middle,42000,English,50-100,Consult
665,29,F,Berlin,5,Middle,40000,English,50-100,Startup
666,33,M,München,4,Middle,60000,English,50-100,Product
667,28,M,Berlin,6,Middle,48000,English,100-1000,Product
668,33,M,Moscow,10,Senior,50000,Russian,1000+,Agency
669,27,M,Berlin,4,Senior,62000,English,100-1000,Agency
670,33,F,Berlin,4,Middle,55000,English,1000+,Product
671,30,M,Berlin,10,Senior,75000,English,100-1000,Product
672,29,M,Berlin,3,Middle,58000,Deutsch,10-50,Product
673,32,M,Berlin,9,Senior,65000,English,1000+,Product
675,28,M,München,7,Senior,60000,English,100-1000,Product
676,28,M,München,7,Senior,60000,English,100-1000,Product
677,31,M,,3,Middle,51600,English,100-1000,Product
678,33,M,Limassol,12,Senior,39600,Russian,100-1000,Product
680,37,M,Berlin,15,Senior,65000,English,10-50,Startup
684,33,M,,1,Junior,42000,English,50-100,Agency
685,28,M,Köln,3,Middle,45000,Deutsch,10-50,Product
686,37,M,Erlangen,7,Senior,85000,Deutsch,1000+,Product
687,32,M,Frankfurt,0,Senior,72000,English,100-1000,Product
688,36,M,München,5,Middle,60000,English,50-100,Agency
689,30,M,Berlin,10,Middle,47000,English,10-50,Product
692,29,M,München,8,Senior,77000,English,1000+,Product
693,35,F,,2,Junior,42000,Deutsch,10-50,Product
694,36,F,München,7,Senior,80000,English,1000+,Automotive
695,37,M,Berlin,17,Senior,95000,English,100-1000,
696,29,M,Berlin,9,Senior,60000,English,100-1000,Product
700,32,M,München,11,Senior,75000,English,100-1000,Startup
701,30,M,Bonn,7,Senior,62500,English,10-50,Product
702,38,M,Siegen,15,Middle,64000,Russian,100-1000,Product
704,27,M,München,6,Middle,65000,Deutsch,100-1000,Product
705,42,M,Berlin,20,Senior,93000,English,1000+,Product
706,26,F,Berlin,3,Junior,27000,English,10-50,Product
707,26,M,Berlin,7,Middle,33000,English,50-100,Product
708,33,M,Remote Germany,0,Senior,83200,English,100-1000,Startup
710,34,M,Berlin,10,Senior,74000,English,100-1000,Product
711,31,F,Berlin,9,Senior,42000,English,10-50,Startup
712,44,M,Berlin,20,Senior,65000,Deutsch,50-100,Product
714,27,F,Frankfurt,0,Junior,50000,English,100-1000,Consulting (banking)
715,30,M,Berlin,10,Senior,75000,English,1000+,Product
716,25,M,"Ireland, Dublin",5,Middle,50000,English,100-1000,Agency
717,35,M,Köln,11,Middle,60000,English,10-50,Startup
718,26,M,Berlin,5,Senior,62500,English,1000+,Product
719,34,M,Frankfurt,11,Senior,65000,Deutsch,1000+,IT Consulting
720,36,M,Köln,5,Senior,53000,Deutsch,100-1000,Agency
721,35,M,Berlin,12,Senior,70000,English,100-1000,Product
722,29,F,Berlin,7,Senior,55000,English,50-100,Agency
723,33,M,Köln,12,Senior,60000,English,up to 10,Product
725,34,M,Berlin,3,Middle,52000,English,50-100,Product
727,33,M,Berlin,7,Senior,69000,English,1000+,Product
728,30,F,Berlin,11,Senior,65000,English,10-50,Startup
729,38,M,Berlin,18,Senior,68000,English,1000+,Product
730,31,M,München,6,Middle,65000,English,50-100,Product
731,35,F,München,10,Senior,80000,English,50-100,Product
732,32,M,Berlin,9,Senior,71500,English,100-1000,Startup
735,40,M,München,12,Senior,50000,English,50-100,Product
742,31,M,München,1,Junior,51000,Deutsch,1000+,Agency
743,40,M,Berlin,20,Senior,75000,English,50-100,Product
745,37,M,Köln,5,Middle,53000,Deutsch,10-50,Agency
746,51,M,Oberhausen,25,Senior,78000,Deutsch,100-1000,Product
749,29,M,Andernach,1,Junior,42000,Russian,up to 10,
750,25,M,München,4,Middle,60000,English,1000+,Product
753,33,M,Nürnberg ,11,Senior,75000,English,1000+,Product
755,30,M,München,10,Middle,75000,Deutsch,100-1000,Agency
756,52,M,Köln,30,Middle,63000,English,1000+,Agency
760,40,M,Köln,1,Junior,44000,Deutsch,10-50,Product
764,31,F,München,10,Senior,110000,English,1000+,Product
765,33,M,Berlin,13,Senior,64000,English,50-100,Startup
766,29,M,Berlin,3,Middle,55000,English,10-50,Product
768,30,M,Berlin,6,Senior,63000,English,100-1000,Product
769,32,M,Berlin,10,Senior,66000,English,50-100,Product
770,33,M,Berlin,11,Middle,80000,English,1000+,Product
771,34,M,Berlin,12,Senior,85000,English,50-100,Startup
772,38,M,Berlin,15,Head,81000,Deutsch,100-1000,Product
774,29,M,Berlin,7,Senior,65000,English,100-1000,Product
775,27,M,Berlin,7,Middle,63000,English,10-50,Startup
776,31,M,Berlin,8,Senior,65000,English,100-1000,Product
777,23,M,Berlin,6,Senior,83000,English,10-50,Startup
778,27,M,Berlin,9,Senior,66000,English,100-1000,Product
779,33,M,Berlin,10,Senior,70000,English,10-50,Startup
781,31,M,Berlin,6,Middle,72000,English,100-1000,Product
782,34,M,Berlin,10,Senior,87000,English,50-100,Product
783,33,M,Berlin,12,Senior,90000,English,1000+,Product
784,31,M,Berlin,6,Senior,78000,English,1000+,Product
785,24,M,Berlin,2,Middle,70000,English,10-50,Startup
786,28,M,Hamburg,7,Senior,55000,English,100-1000,Product
788,27,M,Berlin,5,Senior,75000,English,1000+,Product
789,32,M,Berlin,13,Senior,60000,English,50-100,Product
790,32,M,Berlin,7,Senior,72000,English,1000+,Product
791,38,M,Berlin,16,Senior,80000,English,up to 10,Product
793,31,M,Berlin,9,Senior,67000,English,100-1000,Product
794,31,M,Berlin,8,Senior,60000,English,100-1000,Product
795,32,M,Berlin,13,Senior,78600,English,100-1000,Product
796,44,M,Berlin,20,Senior,60000,Deutsch,50-100,Consulting / Agency
797,26,M,Berlin,6,,65000,English,,Startup
798,31,M,Berlin,7,Senior,60000,English,10-50,Product
799,36,M,Berlin,11,Senior,65000,English,1000+,Product
800,33,M,Berlin,4,Middle,58000,Deutsch,1000+,Product
801,37,M,Berlin,16,Senior,65000,English,1000+,Product
803,33,M,Berlin,9,Senior,69000,English,100-1000,Product
804,35,M,Frankfurt,15,Middle,72000,English,1000+,Product
805,35,M,Cologne,4,Senior,67000,English,50-100,Startup
806,31,M,Berlin,10,Senior,75000,English,10-50,Product
807,35,M,Berlin,10,Middle,70000,English,100-1000,Product
808,27,M,Berlin,10,Senior,60000,English,50-100,Startup
809,38,F,Berlin,10,Senior,85000,English,10-50,Startup
810,31,M,Berlin,2,Middle,62000,English,1000+,Product
811,29,M,Düsseldorf,9,Senior,75000,English,1000+,Product
812,30,M,Wolfsburg,4,Senior,75000,English,50-100,Consulting / Agency
813,30,M,Berlin,3,Middle,61000,English,100-1000,Startup
814,31,M,Berlin,12,Senior,80000,English,1000+,Product
815,33,M,Cologne,10,Senior,60000,Deutsch,10-50,Startup
816,31,M,Munich,7,Senior,56600,Deutsch,1000+,Consulting / Agency
817,30,M,Munich,8,Lead,81000,English,10-50,Startup
818,28,M,Berlin,4,Senior,75000,English,100-1000,Startup
820,27,M,Munich,5,Senior,72000,English,100-1000,Consulting / Agency
821,31,F,MA,10,Senior,61000,Deutsch,10-50,Product
822,28,M,Berlin,6,Middle,61000,English,100-1000,Startup
823,36,F,Munich,13,Senior,76000,English,50-100,Startup
824,28,M,Munich,8,Senior,75000,English,10-50,Startup
825,37,M,Berlin,15,Senior,60000,English,1000+,Product
826,40,M,Berlin,15,Senior,70000,English,100-1000,Product
827,34,M,Berlin,9,Senior,60000,English,100-1000,Product
829,27,F,Berlin,3,Middle,66000,English,100-1000,Startup
830,30,M,Munich,8,Senior,60000,English,1000+,Product
831,32,M,Berlin,11,Senior,65000,English,50-100,Product
832,23,M,Berlin,3,Middle,50000,English,50-100,Startup
833,35,M,Munich,12,Senior,78000,English,100-1000,Consulting / Agency
834,30,M,Munich,10,Middle,80000,English,50-100,Product
836,27,M,Munich,5,Senior,70000,English,100-1000,Consulting / Agency
837,36,M,Berlin,14,Senior,73000,English,100-1000,Product
838,36,M,Berlin,15,Lead,80000,English,1000+,Product
839,31,M,Berlin,9,Senior,64000,English,10-50,Startup
840,26,M,Munich,3,Middle,58000,English,50-100,Product
841,26,M,Munich,2,Junior,60000,English,100-1000,Product
842,32,F,Berlin,12,Senior,96000,English,1000+,Product
843,38,M,Berlin,18,Senior,75000,English,100-1000,Product
844,29,M,Munich,10,Senior,55000,English,100-1000,Product
846,26,M,Munich,6,Middle,65000,English,1000+,Product
847,30,M,Munich,10,Middle,80000,English,1000+,Product
848,32,M,Berlin,7,Middle,66000,English,1000+,
849,35,M,Munich,16,Senior,72000,Deutsch,1000+,Consulting / Agency
850,35,M,Berlin,11,Senior,72000,English,50-100,Product
851,38,M,Berlin,7,Middle,67000,English,1000+,Startup
852,36,M,Munich,14,Senior,70000,Deutsch,100-1000,Product
854,30,M,Berlin,9,Senior,67500,English,100-1000,Product
855,33,M,Berlin,8,Senior,75000,English,100-1000,Startup
856,31,M,Frankfurt,10,Middle,56300,English+Deutsch,10-50,Consulting / Agency
857,37,M,Berlin,12,Lead,89570,English,1000+,Product
859,27,M,Berlin,2,Middle,52000,English,100-1000,Product
860,36,M,Berlin,19,Middle,36000,English,100-1000,Startup
861,39,F,Hamburg,2,Middle,55000,Deutsch,100-1000,Product
862,36,M,Berlin,14,Senior,95000,English,10-50,
863,33,M,Berlin,10,Senior,60000,English,10-50,Product
864,30,M,Berlin,7,Middle,56500,English,100-1000,Product
865,32,M,Berlin,12,Senior,68000,English,50-100,Product
867,43,M,Berlin,8,Senior,80000,English,10-50,Startup
868,29,M,Berlin,7,Senior,69000,English,1000+,Product
870,29,M,Berlin,9,,66000,English,50-100,Startup
872,40,M,Berlin,20,Senior,70000,English,100-1000,Product
873,33,M,Leipzig,13,Senior,56000,English,100-1000,Consulting / Agency
875,37,M,Berlin,14,Senior,80000,Russian,100-1000,Product
876,36,M,Berlin,11,Senior,67000,Deutsch,100-1000,Consulting / Agency
877,39,M,Berlin,16,Senior,82000,English,100-1000,Startup
878,27,F,Berlin,2,Middle,58500,English,50-100,Startup
879,46,M,Berlin,7,Middle,45000,Deutsch,50-100,Consulting / Agency
880,46,M,Berlin,0,Junior,55000,Deutsch,50-100,Product
882,47,M,Berlin,20,Senior,65000,English,1000+,Bodyshop / Outsource
883,40,M,Berlin,18,Senior,94000,English,1000+,Product
884,37,M,Berlin,10,Senior,66000,English,100-1000,Product
885,36,M,Berlin,10,Middle,65000,English,50-100,Product
886,44,M,Berlin,25,Senior,70000,English,100-1000,Product
887,37,F,Berlin,10,Middle,57000,English,100-1000,Product
888,30,F,Berlin,4,Middle,54000,English,50-100,Product
889,33,M,Berlin,8,Senior,63000,English,1000+,Product
891,25,M,Berlin,4,Middle,60000,English,100-1000,Product
892,25,M,Munich,4,Senior,74000,English,1000+,Product
893,32,M,Berlin,11,Senior,70000,English,1000+,Product
894,32,M,Munich,14,Senior,92000,English,1000+,Product
895,42,M,Munich,20,Senior,106000,Deutsch,100-1000,Product
896,42,F,Munich,15,Senior,71000,Deutsch,1000+,Bodyshop / Outsource
897,34,F,Berlin,8,Senior,52000,English,,Startup
898,30,M,Berlin,10,Middle,70000,English,100-1000,Product
899,45,F,Munich,2,Junior,36000,Deutsch,10-50,Consulting / Agency
900,35,M,Frankfurt,9,Middle,60500,English,100-1000,Bodyshop / Outsource
901,42,M,Munich,16,Middle,64000,Deutsch,50-100,Consulting / Agency
902,40,M,Berlin,18,Senior,88000,English,1000+,Product
903,34,M,Munich,12,Senior,64000,Deutsch,1000+,Product
904,30,F,Munich,6,Senior,56000,Deutsch,50-100,Consulting / Agency
906,32,F,Berlin,12,Middle,59500,English,1000+,Product
907,31,M,Berlin,10,Senior,65000,English,up to 10,Startup
908,30,M,Berlin,8,Senior,81000,English,100-1000,Product
909,45,M,Munich,12,Senior,70000,Deutsch,100-1000,Product
910,33,M,Munich,7,Senior,65000,English,50-100,Product
911,38,M,Berlin,6,Senior,66000,English,1000+,Product
912,29,M,Munich,6,Senior,60000,English,100-1000,Product
913,33,M,Berlin,9,Senior,74000,English,100-1000,Product
916,36,M,Berlin,15,Senior,70000,English,100-1000,Product
917,31,F,Munich,4,Junior,57000,Deutsch,100-1000,Product
919,24,F,Munich,1,Junior,72000,English,1000+,Product
921,37,M,Munich,11,Senior,67000,Deutsch,100-1000,Product
922,25,M,Frankfurt,6,Senior,65000,English,100-1000,Product
923,33,M,Berlin,10,Senior,80000,English,1000+,Product
924,32,F,Nuremberg,8,Senior,50000,English,100-1000,Product
925,43,M,Frankfurt,10,Senior,85000,Deutsch,1000+,Product
926,34,M,Cologne,10,Middle,61800,Deutsch,up to 10,Consulting / Agency
927,28,M,Berlin,7,Senior,70000,English,50-100,Startup
928,32,M,Munich,9,Senior,90000,English,1000+,Product
929,29,M,Krakow,7,Senior,45000,English,100-1000,Product
930,25,F,Munich,2,Junior,42000,Deutsch,50-100,Consulting / Agency
931,26,M,Munich,5,Middle,59000,English,,Product
932,44,M,Munich,5,Middle,60000,Deutsch,100-1000,Product
933,29,M,Berlin,10,,70000,English,100-1000,Startup
934,28,M,Berlin,7,Senior,65000,English,50-100,Startup
935,45,F,Frankfurt,2,Middle,62000,Deutsch,50-100,Product
936,39,M,Munich,15,Senior,49375,Deutsch,10-50,Product
937,36,M,Berlin,13,Senior,80000,English,1000+,Product
938,32,M,Berlin,5,Middle,60000,English,100-1000,Product
940,42,F,Munich,10,Middle,68700,English,50-100,Product
942,32,M,Munich,8,Middle,68000,English,1000+,Product
943,33,M,Munich,8,Senior,63000,English,100-1000,Product
944,34,M,Cologne,15,Senior,60000,English,1000+,Consulting / Agency
946,35,M,Frankfurt,16,Senior,55000,English,50-100,Product
947,24,M,Frankfurt,1,Junior,45000,Deutsch,50-100,Consulting / Agency
948,48,F,Munich,11,Senior,75000,English,100-1000,Product
949,31,M,Wroclaw,10,Senior,45000,English,50-100,Consulting / Agency
950,40,F,Munich,9,Senior,89000,English,1000+,Product
951,29,M,Cologne,4,Senior,65000,Deutsch,1000+,Product
953,36,M,Stuttgart,16,Senior,60000,English,100-1000,Product
955,34,M,Munich,3,Junior,46000,Deutsch,100-1000,Product
956,32,M,Berlin,12,Senior,65000,Russian,100-1000,Product
957,29,M,Munich,10,Lead,85000,English,1000+,Product
958,47,M,London,22,Middle,100000,English,100-1000,Product
959,36,M,Munich,10,Middle,75000,English,50-100,Product
960,32,F,Frankfurt,10,Senior,56000,English,100-1000,Consulting / Agency
961,34,M,Karlsruhe,12,Senior,75000,English,100-1000,Product
962,29,F,Munich,4,Middle,62000,Deutsch,100-1000,Product
963,31,M,Munich,9,Senior,75000,English,10-50,Startup
964,41,F,Munich,9,Middle,46000,Deutsch,50-100,Product
965,35,M,Munich,6,Senior,79000,Deutsch,100-1000,Consulting / Agency
966,37,M,Munich,14,Senior,72000,English,100-1000,Product
967,39,F,Munich,17,Middle,58000,Deutsch,1000+,Product
969,25,F,Munich,5,Middle,66000,Deutsch,10-50,Consulting / Agency
970,29,M,Munich,8,Middle,80000,English,1000+,Product
972,28,M,Munich,4,Senior,59000,English,1000+,Product
973,47,M,Munich,25,Senior,87600,Deutsch,up to 10,Product
974,31,M,Berlin,10,Senior,67000,English,1000+,Product
975,40,M,Munich,15,Middle,73000,English,1000+,Product
976,32,M,Munich,14,Lead,80000,Deutsch,1000+,Product
977,34,M,Berlin,10,Senior,90000,English,100-1000,Product
978,34,M,Berlin,10,Senior,68000,English,100-1000,Product
980,31,M,Frankfurt,10,Middle,65000,English,100-1000,Product
981,37,M,Munich,15,Middle,87000,English,1000+,
982,33,M,Munich,5,Senior,70000,English,1000+,Product
983,34,F,Berlin,12,Senior,74000,Deutsch,1000+,Product
984,32,M,Munich,14,Senior,90000,English,,Product
985,38,M,Berlin,13,Senior,77400,Deutsch,100-1000,Product
986,32,M,Berlin,13,Senior,65000,English,100-1000,Product
987,27,M,Berlin,7,Senior,63000,English,50-100,Startup
988,54,M,Ingolstadt,8,Senior,78000,Deutsch,1000+,Product
989,35,M,Düsseldorf,6,Middle,55000,English,10-50,Bodyshop / Outsource
990,31,M,Stuttgart,6,Middle,50000,Deutsch,1000+,Product
992,25,F,Munich,1,Junior,43200,Deutsch,1000+,Consulting / Agency
994,38,M,Munich,12,Senior,96000,English,1000+,Consulting / Agency
995,34,M,Munich,16,Senior,85000,English,1000+,Product
996,40,M,Frankfurt,20,Senior,95000,English,1000+,Bodyshop / Outsource
997,30,M,Munich,9,Senior,75000,Russian,10-50,Product
998,30,M,Munich,2,Middle,62000,English,up to 10,Startup
999,25,M,Munich,1,Junior,70000,English,100-1000,Startup
1000,25,M,Munich,1,Junior,70000,English,100-1000,Startup
1001,25,F,Munich,5,Middle,57000,English,1000+,Consulting / Agency
1002,31,M,Munich,8,Senior,65000,English,50-100,Startup
1003,32,M,Frankfurt,4,Middle,50000,English,10-50,Product
1004,25,M,Munich,5,Senior,80000,English,100-1000,Product
1005,32,F,Munich,10,Middle,47500,English,10-50,Bodyshop / Outsource
1006,31,M,Munich,10,Lead,72000,English,1000+,Product
1007,32,M,Munich,12,Middle,64000,English,100-1000,Startup
1008,44,M,Munich,22,Senior,107000,Deutsch,1000+,Product
1009,36,M,Munich,13,Senior,60000,English,50-100,Product
1010,38,F,Frankfurt,1,Junior,36000,Deutsch,100-1000,Consulting / Agency
1012,32,M,Munich,5,Senior,65000,English,1000+,Product
1013,32,M,Munich,14,Lead,98000,English,100-1000,Product
1014,27,M,Munich,7,Middle,66000,Deutsch,100-1000,Product
1015,27,F,Nuremberg,5,Middle,42000,English,1000+,Product
1017,29,M,Berlin,7,Senior,78000,English,100-1000,Product
1018,26,F,Frankfurt,2,Middle,45000,Deutsch,50-100,Product
1020,35,M,Munich,7,Senior,77500,English,100-1000,Product
1021,26,M,Berlin,5,Senior,80000,English,10-50,Startup
1022,25,M,Munich,4,Middle,60000,English,100-1000,Product
1024,28,F,Berlin,1,Junior,55000,English,100-1000,Product
1025,36,M,Berlin,11,Senior,85000,English,10-50,Startup
1026,24,M,Berlin,3,Middle,75000,English,10-50,Startup
1027,34,M,Frankfurt,10,Senior,100000,English,1000+,Product
1028,34,M,Munich,11,Senior,92000,English,50-100,Product
1029,34,M,Munich,11,Senior,92000,English,50-100,Product
1030,36,M,Berlin,10,Senior,78000,English,1000+,Product
1031,33,M,Hamburg,13,Middle,55000,English,,Product
1032,29,F,Berlin,3,Middle,46000,English,10-50,Startup
1033,31,M,Munich,8,Senior,68000,English,10-50,Product
1034,30,M,Berlin,12,Senior,70000,English,10-50,Startup
1035,33,M,Munich,11,Senior,78000,Russian,up to 10,Bodyshop / Outsource
1036,29,F,Munich,8,Middle,65000,English,1000+,Product
1038,29,M,Munich,9,Senior,60000,English,up to 10,Product
1039,33,M,Munich,10,Senior,80000,English,1000+,Product
1041,29,M,Berlin,10,Senior,70000,English,1000+,Product
1042,43,M,Berlin,10,Senior,60000,Russian,up to 10,Startup
1044,36,M,Berlin,14,Senior,75000,English,100-1000,Product
1045,30,M,Munich,6,Senior,67000,English,,Product
1046,27,M,Berlin,5,Senior,66000,English,100-1000,Product
1047,36,F,Berlin,3,,45000,English,10-50,Product
1048,28,M,Frankfurt,2,Middle,55000,Deutsch,100-1000,Product
1049,34,M,Berlin,10,Senior,80000,English,50-100,Product
1050,29,M,Berlin,10,Senior,72000,English,100-1000,Product
1051,27,M,Moscow,7,Senior,66000,Russian,100-1000,Startup
1052,29,M,Berlin,8,Senior,70000,English,1000+,Product
1053,29,M,Munich,9,Senior,75000,English,100-1000,Product
1054,28,F,Munich,9,Senior,70000,English,10-50,Product
1055,26,M,Munich,1,,59000,English,50-100,Startup
1057,34,M,Munich,12,Senior,90000,English,100-1000,Product
1058,32,M,Berlin,11,Senior,81600,English,1000+,Product
1059,35,M,Düsseldorf,15,Senior,65000,Deutsch,up to 10,Consulting / Agency
1060,28,M,Berlin,7,Middle,62000,English,100-1000,Bodyshop / Outsource
1062,38,F,Berlin,10,Senior,92000,Deutsch,1000+,Product
1063,24,M,Berlin,4,Middle,65000,English,100-1000,Product
1064,32,M,Berlin,5,Senior,62000,Deutsch,1000+,Consulting / Agency
1067,36,M,Berlin,10,Senior,80000,English,100-1000,Product
1072,42,F,Berlin,12,Senior,55000,English,50-100,Product
1074,30,M,Hamburg,6,Senior,85000,English,100-1000,Startup
1076,30,M,Berlin,6,Senior,70000,Russian,100-1000,Startup
1077,28,M,Berlin,8,Middle,68000,English,1000+,Product
1078,37,M,Berlin,15,Senior,95000,English,100-1000,Product
1079,29,M,Munich,7,Middle,70000,English,1000+,Product
1081,35,M,Berlin,16,Senior,65000,English,100-1000,Product
1082,30,M,Berlin,8,Senior,86000,English,100-1000,Product
1083,34,M,Berlin,12,Senior,60000,English,100-1000,Startup
1084,29,M,Dusseldorf,8,Senior,70000,English,1000+,
1085,41,M,Munich,0,Junior,55000,English,1000+,Product
1086,33,M,Karlsruhe,7,Senior,67000,English,1000+,Product
1087,31,M,Frankfurt,7,Senior,85000,English,1000+,
1088,25,M,Kyiv,4,Senior,60000,Russian,1000+,Product
1089,27,F,Berlin,3,Middle,67000,English,1000+,Product
1090,29,M,Kyiv,8,Senior,65000,Russian,50-100,Product
1091,27,M,Berlin,5,Senior,100000,English,100-1000,Startup
1092,36,M,Berlin,18,Middle,56000,English,100-1000,Product
1093,28,M,Munich,7,Middle,62500,English,1000+,Product
1094,33,M,Berlin,10,Middle,76000,English,1000+,Product
1095,34,M,Freiburg,2,Middle,42000,English,100-1000,Consulting / Agency
1096,36,M,Berlin,15,Senior,77000,English,100-1000,Product
1097,23,M,Berlin,5,Senior,65000,English,100-1000,Product
1098,35,M,Berlin,17,Senior,60000,Russian,100-1000,Product
1099,27,M,Munich,1,Middle,58000,English,10-50,Startup
1100,30,M,Munich,9,Senior,72000,Russian,10-50,Startup
1101,37,M,Amsterdam,14,Senior,75000,English,100-1000,Product
1103,41,M,Munich,20,Senior,78000,English,100-1000,Product
